file_name,package,minor,major,total,ownership,num_of_bugs
MatchingReaders.java,org.apache.lucene.codecs.compressing,0,2,3,0.6,0
PayloadTermQuery.java,org.apache.lucene.search.payloads,0,1,2,0.5,8
LevenshteinAutomata.java,org.apache.lucene.util.automaton,0,1,2,0.8571428571428571,1
StandardDirectoryReader.java,org.apache.lucene.index,0,3,4,0.4444444444444444,4
MultiLevelSkipListReader.java,org.apache.lucene.codecs,0,0,1,1.0,0
DocumentsWriter.java,org.apache.lucene.index,0,3,4,0.47058823529411764,14
RoaringDocIdSet.java,org.apache.lucene.util,0,1,2,0.8333333333333334,0
FilterCodecReader.java,org.apache.lucene.index,0,0,1,1.0,0
DocumentsWriterStallControl.java,org.apache.lucene.index,0,1,2,0.6666666666666666,2
MMapDirectory.java,org.apache.lucene.store,0,2,3,0.5,2
MergeRateLimiter.java,org.apache.lucene.index,0,0,1,1.0,0
BytesRefArray.java,org.apache.lucene.util,0,1,2,0.5,0
TermVectorsWriter.java,org.apache.lucene.codecs,0,4,5,0.2857142857142857,2
PayloadSpanUtil.java,org.apache.lucene.search.payloads,0,1,2,0.5,2
MutableValueInt.java,org.apache.lucene.util.mutable,0,0,1,1.0,0
Lucene50PostingsReader.java,org.apache.lucene.codecs.lucene50,0,1,2,0.8333333333333334,9
Analyzer.java,org.apache.lucene.analysis,0,2,3,0.4,0
DocIdSet.java,org.apache.lucene.search,0,2,3,0.5,0
FilterDirectory.java,org.apache.lucene.store,0,3,4,0.5,2
TermRangeFilter.java,org.apache.lucene.search,0,0,1,1.0,0
FreqProxTermsWriter.java,org.apache.lucene.index,0,1,2,0.8888888888888888,0
CharTermAttribute.java,org.apache.lucene.analysis.tokenattributes,0,0,1,1.0,0
DocConsumer.java,org.apache.lucene.index,0,0,1,1.0,0
FieldsConsumer.java,org.apache.lucene.codecs,0,2,3,0.5,0
CompressingStoredFieldsWriter.java,org.apache.lucene.codecs.compressing,1,2,4,0.6666666666666666,0
NormValuesWriter.java,org.apache.lucene.index,0,0,1,1.0,0
FilterScorer.java,org.apache.lucene.search,0,0,1,1.0,0
SortedSetDocValuesField.java,org.apache.lucene.document,0,0,1,1.0,0
CachingWrapperFilter.java,org.apache.lucene.search,0,2,3,0.6923076923076923,0
Terms.java,org.apache.lucene.index,0,3,4,0.42857142857142855,0
FlushByRamOrCountsPolicy.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
FSTEnum.java,org.apache.lucene.util.fst,0,0,1,1.0,0
FieldInfos.java,org.apache.lucene.index,0,1,2,0.7272727272727273,0
QueryWrapperFilter.java,org.apache.lucene.search,0,2,3,0.3333333333333333,3
Lucene50FieldInfosFormat.java,org.apache.lucene.codecs.lucene50,0,1,2,0.6363636363636364,1
EliasFanoEncoder.java,org.apache.lucene.util.packed,0,1,2,0.5,0
LockObtainFailedException.java,org.apache.lucene.store,0,0,1,1.0,2
ByteBufferIndexInput.java,org.apache.lucene.store,0,3,4,0.42857142857142855,4
SegmentDocValues.java,org.apache.lucene.index,0,2,3,0.6,0
BooleanScorer.java,org.apache.lucene.search,0,2,3,0.6666666666666666,0
DocumentsWriterPerThreadPool.java,org.apache.lucene.index,0,0,1,1.0,6
PrefixQuery.java,org.apache.lucene.search,0,0,1,1.0,0
ExactPhraseScorer.java,org.apache.lucene.search,0,0,1,1.0,1
RAMInputStream.java,org.apache.lucene.store,0,1,2,0.5,2
PackedWriter.java,org.apache.lucene.util.packed,0,0,1,1.0,0
ConstantScoreQuery.java,org.apache.lucene.search,0,2,3,0.5,7
SlowCodecReaderWrapper.java,org.apache.lucene.index,0,0,1,1.0,0
Packed16ThreeBlocks.java,org.apache.lucene.util.packed,0,0,1,1.0,0
SegmentInfos.java,org.apache.lucene.index,1,1,3,0.6190476190476191,17
CompressionMode.java,org.apache.lucene.codecs.compressing,0,1,2,0.8333333333333334,0
AttributeImpl.java,org.apache.lucene.util,0,1,2,0.6666666666666666,0
SortRescorer.java,org.apache.lucene.search,0,2,3,0.6,2
LongsRef.java,org.apache.lucene.util,0,0,1,1.0,0
Accountables.java,org.apache.lucene.util,0,2,3,0.4,0
PairOutputs.java,org.apache.lucene.util.fst,0,2,3,0.7142857142857143,0
IndexFormatTooOldException.java,org.apache.lucene.index,0,1,2,0.5,0
Explanation.java,org.apache.lucene.search,0,0,1,1.0,6
IndexUpgrader.java,org.apache.lucene.index,0,3,4,0.2857142857142857,3
MultiDocsEnum.java,org.apache.lucene.index,0,0,1,1.0,0
RunAutomaton.java,org.apache.lucene.util.automaton,0,1,2,0.8571428571428571,0
Direct32.java,org.apache.lucene.util.packed,0,1,2,0.5,0
DataInput.java,org.apache.lucene.store,0,2,3,0.5,0
IndexReaderContext.java,org.apache.lucene.index,0,0,1,1.0,0
TermToBytesRefAttribute.java,org.apache.lucene.analysis.tokenattributes,0,0,1,1.0,0
DisjunctionSumScorer.java,org.apache.lucene.search,0,0,1,1.0,0
IndexInput.java,org.apache.lucene.store,0,0,1,1.0,2
CoalescedUpdates.java,org.apache.lucene.index,0,2,3,0.5,0
BufferedIndexInput.java,org.apache.lucene.store,0,1,2,0.75,0
RateLimiter.java,org.apache.lucene.store,0,1,2,0.8,0
RAMOutputStream.java,org.apache.lucene.store,0,3,4,0.5833333333333334,0
MutableValueDouble.java,org.apache.lucene.util.mutable,0,0,1,1.0,0
CorruptIndexException.java,org.apache.lucene.index,0,3,4,0.25,0
LockReleaseFailedException.java,org.apache.lucene.store,0,1,2,0.5,0
TimeLimitingCollector.java,org.apache.lucene.search,0,2,3,0.3333333333333333,4
RAMDirectory.java,org.apache.lucene.store,0,5,6,0.46153846153846156,1
LRUFilterCache.java,org.apache.lucene.search,0,1,2,0.8571428571428571,0
FST.java,org.apache.lucene.util.fst,0,3,4,0.35714285714285715,0
PrefixCodedTerms.java,org.apache.lucene.index,0,2,3,0.5,0
SortedDocValuesField.java,org.apache.lucene.document,0,0,1,1.0,0
NativeFSLockFactory.java,org.apache.lucene.store,0,4,5,0.4444444444444444,4
CollectionTerminatedException.java,org.apache.lucene.search,0,0,1,1.0,0
SegmentMerger.java,org.apache.lucene.index,0,3,4,0.625,0
SegmentDocValuesProducer.java,org.apache.lucene.index,0,2,3,0.625,0
SortedSetDocValuesTermsEnum.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
ForUtil.java,org.apache.lucene.codecs.lucene50,0,0,1,1.0,0
EliasFanoDocIdSet.java,org.apache.lucene.util.packed,0,0,1,1.0,0
SloppyPhraseScorer.java,org.apache.lucene.search,0,2,3,0.4,1
CompressingStoredFieldsIndexWriter.java,org.apache.lucene.codecs.compressing,0,1,2,0.5,1
